delivery_id,customer_id,deliveryman_id,vehicle_type,pickup_place,place_category,item_name,item_quantity,item_category_name,how_long_it_took_to_order,pickup_lat,pickup_lon,dropoff_lat,dropoff_lon,when_the_delivery_started,when_the_deliveryman_arrived_at_pickup,when_the_deliveryman_left_pickup,when_the_deliveryman_arrived_at_dropoff
1457973,327168,162381,van,Melt Shop,American,Lemonade,1,Beverages,0:19:59,40.74460714,-73.99074197,40.75207259,-73.98536955,0:52:00,,,0:52:06
1377056,64452,104533,bicycle,Prince Street Pizza,Pizza,Neapolitan Rice Balls,3,Munchables,0:25:09,40.72307952,-73.99461508,40.719722,-73.991858,0:58:59,0:26:02,0:48:23,0:59:23
1476547,83095,132725,bicycle,Bareburger,Burger,Bare Sodas,1,Drinks,0:06:45,40.72847826,-73.99839184,40.728606,-73.995143,0:39:53,0:37:19,0:59:10,0:04:41
1485494,271149,157175,bicycle,Juice Press,Juice Bar,OMG! My Favorite Juice!,1,Cold Pressed Juices,,40.73886755,-74.00274745,40.75125729,-74.00563376,0:54:12,0:04:18,0:16:38,0:32:38
1327707,122609,118095,bicycle,Blue Ribbon Sushi,Japanese,Spicy Tuna & Tempura Flakes,2,Maki (Special Rolls),0:03:45,40.72610966,-74.00249186,40.7093232,-74.0158665,0:07:19,0:14:43,0:25:19,0:48:27
1423142,75169,91932,bicycle,Tamarind TriBeCa,Indian,Dum Aloo Gobi,1,Vegetarian Specialties,0:07:14,40.71926893,-74.00874988,40.7256784,-74.0006176,0:56:36,0:18:50,0:27:11,0:36:54
1334106,101347,124897,bicycle,The Loop,Sushi,Spicy Tuna Roll,1,Classic Roll & Hand Roll,0:04:49,40.73485818,-73.98609344,40.7383678,-74.0001054,0:08:56,0:07:16,0:29:25,0:40:02
1311619,59161,79847,bicycle,Insomnia Cookies,Bakery,Chocolate Chunk,2,Cookies and Brownies,,40.7297909,-74.0005893,40.7347026,-73.9982061,0:20:09,0:17:36,0:03:24,0:09:17
1487674,55375,181543,bicycle,Cafe Zaiya,,,,,,40.729357,-73.990156,40.719758,-73.985011,0:49:48,0:55:32,0:01:22,0:10:45
1417206,153816,157415,car,Shake Shack,Burger,Shackburger,1,Burgers,,40.75845677,-73.98914047,40.743613,-73.977684,0:18:38,0:20:14,0:47:04,0:59:26
